date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:35:17	135402/135402	---MC-	200	added ('OK')	text/javascript	date:Sat,%2001%20May%202021%2013:05:16%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/xampp/htdocs/Gold/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://goldd.in/)
18:35:18	86927/86927	---M--	200	added ('OK')	application/javascript	etag:%223d8362f-1538f-5b4758a4c9000%22	https://goldd.in//assets/lib/jquery/jquery.min.js	C:/xampp/htdocs/Gold/goldd.in/assets/lib/jquery/jquery.min.js	(from https://goldd.in/)
18:35:18	4445/4445	---M--	200	added ('OK')	image/png	etag:%223da2fec-115d-5b6928700a480%22	https://goldd.in//assets/images/goldd_icon.png	C:/xampp/htdocs/Gold/goldd.in/assets/images/goldd_icon.png	(from https://goldd.in/)
18:35:19	1472/1472	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2001%20May%202021%2013:05:18%20GMT	https://goldd.in/index.html	C:/xampp/htdocs/Gold/goldd.in/index-2.html	(from https://goldd.in/)
18:35:19	6201/6201	---M--	200	added ('OK')	text/css	etag:%223da1990-1839-5c029a06e9286%22	https://goldd.in//assets/css/style.css	C:/xampp/htdocs/Gold/goldd.in/assets/css/style.css	(from https://goldd.in/)
18:35:20	430223/430223	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20May%202021%2013:05:18%20GMT	https://goldd.in/home/chart	C:/xampp/htdocs/Gold/goldd.in/home/chart.html	(from https://goldd.in/)
18:35:21	16845/16845	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20May%202021%2013:05:19%20GMT	https://goldd.in/otc	C:/xampp/htdocs/Gold/goldd.in/otc.html	(from https://goldd.in/)
18:35:23	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%22608bc887-302c%22	https://ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	C:/xampp/htdocs/Gold/ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	(from https://goldd.in/)
18:35:23	852887/852887	---M--	200	added ('OK')	text/css	etag:%223da3027-d0397-5b6e48faf91c0%22	https://goldd.in//assets/css/azia.css	C:/xampp/htdocs/Gold/goldd.in/assets/css/azia.css	(from https://goldd.in/)
18:35:24	80792/80792	---M--	200	added ('OK')	application/javascript	etag:%223da0d00-13b98-5b4758a4c9000%22	https://goldd.in//assets/lib/jquery-ui/ui/widgets/datepicker.js	C:/xampp/htdocs/Gold/goldd.in/assets/lib/jquery-ui/ui/widgets/datepicker.js	(from https://goldd.in/)
18:35:24	70966/70966	---M--	200	added ('OK')	application/javascript	etag:%223da2f1a-11536-5b4758a4c9000%22	https://goldd.in//assets/lib/bootstrap/js/bootstrap.bundle.min.js	C:/xampp/htdocs/Gold/goldd.in/assets/lib/bootstrap/js/bootstrap.bundle.min.js	(from https://goldd.in/)
